y,U,V,u,v,uv,uuu,vvv,uuv,uvv,N
0.14543812104787035,-0.03732930328554354,0.0003208782238936122,0.0,0.0,-2.1137634632624336e-05,-0.0010149447036601838,4.9625860805080055e-06,-1.2696414088229104e-05,-8.292608387089776e-09,217954
0.86811201445347,-0.06531569872111813,0.0015944600283448365,0.0,0.0,2.053726233874654e-05,-0.00046864952720660516,2.1128979126620122e-05,-4.7812045907052904e-06,-2.7319885811975584e-06,223915
1.5907859078590696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201048
2.3134598012646697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176568
3.0361336946702693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170283
3.7588075880758707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160930
4.48148148148147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140402
5.204155374887071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127533
5.92682926829267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130505
6.64950316169827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144634
7.372177055103869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153747
8.0948509485095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171132
8.8175248419151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182280
9.540198735320699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204068
10.262872628726301,-0.1357100111236906,0.0012411278229014237,0.0,0.0,0.00046651160862131065,-0.0031400002880908593,0.0002261569915082759,0.00010787308310120237,-4.658471237965867e-06,203337
10.985546522131902,-0.1823216645360407,0.0021838573071456995,0.0,0.0,0.0005362740869014291,-0.006036559550054413,0.0003450352396011299,0.00016216018574299448,-6.5449707302220585e-06,194736
11.7082204155375,-0.2116872758247342,0.0015964067910846779,0.0,0.0,0.0003416459550127101,-0.009963209999176943,0.0004338216110348055,6.186211077993156e-05,-3.4949929384928744e-05,195627
12.4308943089431,-0.22476116007691252,0.0010934582247542257,0.0,0.0,0.00036852942817078294,-0.0129075606492401,0.0005006197084312718,0.0002419370434395043,-4.348852367275538e-05,197695
13.1535682023487,-0.2225947312535615,-0.0009387307889954696,0.0,0.0,-4.861091761053807e-05,-0.013258813278000155,0.000545023059805986,0.00018971414858962474,-4.703028412284716e-05,197776
13.876242095754302,-0.20789911870166247,-0.0021432623933214903,0.0,0.0,-0.00027915882550041537,-0.011303032123150248,0.0005278419030507745,0.00020648057125154218,-6.111348866444465e-05,195767
14.598915989159902,-0.17687786441166542,-0.004737025771281898,0.0,0.0,-0.0011606481298211432,-0.007438420634723495,0.00042633453048271787,-0.00039264391772511425,-6.888806768753325e-05,195514
15.321589882565501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197128
16.044263775971103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200515
16.7669376693767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195580
17.4896115627823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171880
18.2122854561879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163495
18.934959349593502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161637
19.6576332429991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176386
20.3803071364047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189084
21.1029810298103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206697
21.8256549232159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210263
22.5483288166215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216251
23.271002710027105,-0.17708202984759544,0.003731493416110269,0.0,0.0,0.00032663718538881526,-0.003962561667271165,0.00031901317812303194,-1.2102214436664377e-05,8.96546302362655e-08,219157
23.993676603432696,-0.20498550931417076,0.002858414248918753,0.0,0.020876737054136986,0.00019803074392473564,-0.005420005523526655,0.0003396473013802024,-4.523469507607711e-05,1.1329607149274876e-05,222619
24.716350496838302,-0.21815047935861445,0.0009318796253173736,0.0,0.0,-0.00011759347112282929,-0.006662639651358668,0.0003185967105286277,-0.00018356025549834165,-5.028412702878715e-06,223376
25.439024390243897,-0.20937893525434437,-0.001906594656690225,0.0,0.0,-0.0004709704492655951,-0.006081257639544225,0.0002992641372847579,-0.00022498520726541956,-2.4628024474478065e-06,221645
26.161698283649503,-0.17420728811765643,-0.004248074526414336,0.0,0.0,-0.0006602267718561248,-0.0032540025557145765,0.00026124705026943877,-0.0001840562818470673,-4.7926183753068325e-06,220594
26.884372177055102,-0.12260510783568508,-0.005366764731440472,0.0,0.0,-0.0005691127180272725,-0.001107781916877849,0.00018633551848756707,-8.020505652697393e-05,-6.6340947408384564e-06,222512
27.6070460704607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225579
28.3297199638663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220077
29.052393857271902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192302
29.7750677506775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186827
30.4977416440831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172787
31.220415537488698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157004
31.943089430894297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165589
32.665763324299895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168897
33.388437217705494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193597
34.1111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222403
34.8337850045167,-0.11523075530353603,-0.0002848161545404099,0.0,0.01995423412612931,0.00034985610524493815,-0.0005731193131515987,0.00018487679852677012,3.093949743476749e-05,-7.040874267160224e-07,240488
35.5564588979223,-0.1599277463458029,0.0007564805888367393,0.0,0.020740244209194587,0.00034656232312296845,-0.0010642608773570917,0.0002532928607003299,4.550825834691992e-05,2.5826692809264455e-06,245294
36.279132791327896,-0.18743261058347102,0.0012691664734147553,0.0,0.020934593467291467,0.00023168944728917533,-0.0013946476039523776,0.0002829709952529227,3.725049749478799e-05,6.902812605438863e-06,250175
37.0018066847335,-0.19615647544488843,0.0021401208947361885,0.0,0.020527471922468295,0.00016874950884881198,-0.0015574201668835607,0.00027687938879291654,4.105007644808138e-05,6.362559392328761e-06,252787
37.7244805781391,-0.19257730512419477,0.002192974067550368,0.0,0.020513016199569436,2.792533038831601e-05,-0.0013711377761009011,0.00027835341363316495,1.4578529704901958e-05,6.145041119811207e-06,254033
38.44715447154471,-0.175657608716769,0.0003932215083212236,0.0,0.02086201030707527,-0.00013895601306347316,-0.0008988412252469589,0.00029296120159747775,-7.813373761663048e-06,4.515174714956859e-06,253173
39.16982836495029,-0.1408088444063291,-0.0016179530467046474,0.0,0.020475900991169086,-0.0002586626472324326,-0.00045434466368828415,0.00024681648094622237,-1.5204308448093981e-05,3.3627712144718864e-07,251657
39.8925022583559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247762
40.615176151761496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238532
41.3378500451671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225179
42.0605239385727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197686
42.78319783197829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170430
43.505871725383905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162065
44.228545618789504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164834
44.9512195121951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173048
45.6738934056007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208030
46.3965672990063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227494
47.1192411924119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252696
47.8419150858175,-0.09892622208123436,0.004080656913046898,0.0,0.013402941631059628,0.00013336148301510152,-3.56511260410634e-05,8.281254286654744e-05,2.1827580786011256e-06,-3.988213892127175e-07,263578
48.564588979223096,-0.12773740231526984,0.0020572262581861284,0.0,0.012049008462531327,6.071460795890793e-05,-1.4924011630247732e-05,7.870181859846381e-05,2.060315900520918e-06,5.72981111729268e-07,266998
49.28726287262871,-0.09759781483531033,0.0009981682045403211,0.0,0.0,5.662251311911755e-06,-3.534589618044867e-05,1.8405346173177103e-05,8.494628359905444e-07,-2.7500364662931637e-07,261065
