x (mm)[mm],y (mm)[mm],U[m/s],V[m/s],Std dev (U)[m/s],Std dev (V)[m/s],uuu,vvv,uuv,uvv,Covar (U,N
0.663527397260273,0.663527397260273,,,,,,,,,,0
1.34845890410959,0.663527397260273,,,,,,,,,,0
2.0333904109589,0.663527397260273,,,,,,,,,,0
2.7183219178082205,0.663527397260273,,,,,,,,,,0
3.4032534246575294,0.663527397260273,-inf,inf,,,,,,,,0
4.08818493150684,0.663527397260273,-inf,inf,,,,,,,,0
4.77311643835616,0.663527397260273,-inf,-inf,,,,,,,,0
5.458047945205469,0.663527397260273,-inf,-inf,,,,,,,,0
6.1429794520547905,0.663527397260273,-inf,-inf,,,,,,,,0
6.827910958904099,0.663527397260273,inf,inf,,,,,,,,0
7.512842465753419,0.663527397260273,-inf,inf,,,,,,,,0
8.19777397260273,0.663527397260273,-inf,inf,,,,,,,,0
8.882705479452039,0.663527397260273,-inf,inf,,,,,,,,0
9.567636986301359,0.663527397260273,-inf,-inf,,,,,,,,0
10.252568493150699,0.663527397260273,-inf,-inf,,,,,,,,0
10.9375,0.663527397260273,-inf,-inf,,,,,,,,0
11.622431506849301,0.663527397260273,-inf,-inf,,,,,,,,0
12.3073630136986,0.663527397260273,-inf,-inf,,,,,,,,0
12.992294520547901,0.663527397260273,-inf,-inf,,,,,,,,0
13.677226027397198,0.663527397260273,-inf,-inf,,,,,,,,0
14.362157534246599,0.663527397260273,-inf,-inf,,,,,,,,0
15.0470890410959,0.663527397260273,-inf,-inf,,,,,,,,0
15.732020547945199,0.663527397260273,-inf,-inf,,,,,,,,0
16.4169520547945,0.663527397260273,-inf,-inf,,,,,,,,0
17.1018835616438,0.663527397260273,-inf,inf,,,,,,,,0
17.7868150684931,0.663527397260273,-inf,inf,,,,,,,,0
18.471746575342397,0.663527397260273,-inf,-inf,,,,,,,,0
19.1566780821918,0.663527397260273,-inf,-inf,,,,,,,,0
19.841609589041102,0.663527397260273,-inf,-inf,,,,,,,,0
20.526541095890398,0.663527397260273,-inf,-inf,,,,,,,,0
21.2114726027397,0.663527397260273,-inf,inf,,,,,,,,0
21.896404109589,0.663527397260273,-inf,inf,,,,,,,,0
22.581335616438302,0.663527397260273,-inf,inf,,,,,,,,0
23.2662671232876,0.663527397260273,-inf,inf,,,,,,,,0
23.951198630137,0.663527397260273,-inf,inf,,,,,,,,0
24.6361301369863,0.663527397260273,-inf,inf,,,,,,,,0
25.321061643835602,0.663527397260273,inf,-inf,,,,,,,,0
26.0059931506849,0.663527397260273,inf,-inf,,,,,,,,0
26.6909246575342,0.663527397260273,inf,-inf,,,,,,,,0
27.375856164383503,0.663527397260273,inf,-inf,,,,,,,,0
28.060787671232802,0.663527397260273,inf,inf,,,,,,,,0
28.7457191780822,0.663527397260273,-inf,inf,,,,,,,,0
29.430650684931503,0.663527397260273,-inf,inf,,,,,,,,0
30.1155821917808,0.663527397260273,-inf,inf,,,,,,,,0
30.8005136986301,0.663527397260273,-inf,-inf,,,,,,,,0
31.485445205479397,0.663527397260273,-inf,inf,,,,,,,,0
32.170376712328704,0.663527397260273,-inf,-inf,,,,,,,,0
32.855308219178,0.663527397260273,-inf,-inf,,,,,,,,0
33.5402397260274,0.663527397260273,-inf,-inf,,,,,,,,0
34.225171232876704,0.663527397260273,-inf,-inf,,,,,,,,0
34.910102739726,0.663527397260273,-inf,-inf,,,,,,,,0
35.595034246575295,0.663527397260273,-inf,inf,,,,,,,,0
36.2799657534246,0.663527397260273,-inf,inf,,,,,,,,0
36.9648972602739,0.663527397260273,-inf,-inf,,,,,,,,0
37.6498287671232,0.663527397260273,-inf,inf,,,,,,,,0
38.3347602739726,0.663527397260273,inf,inf,,,,,,,,0
39.0196917808219,0.663527397260273,inf,inf,,,,,,,,0
39.704623287671204,0.663527397260273,inf,-inf,,,,,,,,0
40.3895547945205,0.663527397260273,inf,inf,,,,,,,,0
41.074486301369795,0.663527397260273,inf,inf,,,,,,,,0
41.759417808219105,0.663527397260273,inf,inf,,,,,,,,0
42.4443493150684,0.663527397260273,-inf,-inf,,,,,,,,0
43.1292808219178,0.663527397260273,-inf,inf,,,,,,,,0
43.8142123287671,0.663527397260273,-inf,inf,,,,,,,,0
44.4991438356164,0.663527397260273,-inf,-inf,,,,,,,,0
45.184075342465704,0.663527397260273,-inf,-inf,,,,,,,,0
45.86900684931501,0.663527397260273,-inf,-inf,,,,,,,,0
46.553938356164295,0.663527397260273,-inf,-inf,,,,,,,,0
47.238869863013605,0.663527397260273,-inf,-inf,,,,,,,,0
47.92380136986301,0.663527397260273,-inf,-inf,,,,,,,,0
48.608732876712295,0.663527397260273,-inf,-inf,,,,,,,,0
49.2936643835616,0.663527397260273,-inf,-inf,,,,,,,,0
49.9785958904109,0.663527397260273,-inf,-inf,,,,,,,,0
50.6635273972602,0.663527397260273,inf,inf,,,,,,,,0
51.3484589041095,0.663527397260273,inf,inf,,,,,,,,0
52.033390410958795,0.663527397260273,inf,inf,,,,,,,,0
52.7183219178082,0.663527397260273,inf,-inf,,,,,,,,0
53.4032534246575,0.663527397260273,inf,-inf,,,,,,,,0
54.088184931506795,0.663527397260273,inf,-inf,,,,,,,,0
54.773116438356105,0.663527397260273,inf,inf,,,,,,,,0
55.4580479452054,0.663527397260273,-inf,-inf,,,,,,,,0
56.1429794520547,0.663527397260273,-inf,inf,,,,,,,,0
